おきます | Thức dậy / Dậy | おきます | Động từ | N5 | 毎朝6時に起きます。 | Mỗi sáng tôi thức dậy lúc 6 giờ. | Động từ nhóm 2 (Kanji: 起きます) | thức dậy, thuc day, dậy, day, thức giấc, thuc giac
ねます | Đi ngủ / Ngủ | ねます | Động từ | N5 | 毎晩10時に寝ます。 | Mỗi tối tôi đi ngủ lúc 10 giờ. | Động từ nhóm 2 (Kanji: 寝ます) | đi ngủ, di ngu, ngủ, ngu, ngủ đi, ngu di
はたらきます | Làm việc | はたらきます | Động từ | N5 | 9時から5時まで働きます。 | Tôi làm việc từ 9 giờ đến 5 giờ. | Động từ nhóm 1 (Kanji: 働きます) | làm việc, lam viec, làm, lam, công tác, cong tac
やすみます | Nghỉ / Nghỉ ngơi | やすみます | Động từ | N5 | 日曜日に休みます。 | Tôi nghỉ vào chủ nhật. | Động từ nhóm 1 (Kanji: 休みます) | nghỉ, nghi, nghỉ ngơi, nghi ngoi, nghỉ phép, nghi phep
べんきょうします | Học / Học tập | べんきょうします | Động từ | N5 | 毎晩日本語を勉強します。 | Mỗi tối tôi học tiếng Nhật. | Động từ nhóm 3 (Kanji: 勉強します) | học, hoc, học tập, hoc tap, ôn tập, on tap
おわります | Kết thúc / Xong / Hết | おわります | Động từ | N5 | 5時に終わります。 | Kết thúc lúc 5 giờ. | Động từ nhóm 1 (Kanji: 終わります) | kết thúc, ket thuc, xong, hết, het, xong rồi, xong roi, hoàn thành
デパート | Bách hóa / Trung tâm thương mại | デパート | Danh từ | N5 | デパートで買います。 | Mua ở bách hóa. | Cửa hàng bách hóa tổng hợp (Từ mượn: Department store) | bách hóa, bach hoa, trung tâm thương mại, trung tam thuong mai, tttm, siêu thị lớn
ぎんこう | Ngân hàng | ぎんこう | Danh từ | N5 | 銀行は9時から4時までです。 | Ngân hàng mở cửa từ 9 giờ đến 4 giờ. | Cơ sở tài chính (Kanji: 銀行) | ngân hàng, ngan hang, nhà ngân
ゆうびんきょく | Bưu điện | ゆうびんきょく | Danh từ | N5 | 郵便局へ行きます。 | Đến bưu điện. | Cơ quan bưu chính (Kanji: 郵便局) | bưu điện, buu dien, bưu cục, buu cuc
としょかん | Thư viện | としょかん | Danh từ | N5 | 図書館で本を借ります。 | Mượn sách ở thư viện. | Nơi lưu trữ sách báo (Kanji: 図書館) | thư viện, thu vien, nhà sách
びじゅつかん | Bảo tàng mỹ thuật / Viện bảo tàng | びじゅつかん | Danh từ | N5 | 美術館へ行きます。 | Đến bảo tàng mỹ thuật. | Nơi trưng bày nghệ thuật (Kanji: 美術館) | bảo tàng, bao tang, bảo tàng mỹ thuật, bao tang my thuat, viện bảo tàng
いま | Bây giờ / Hiện tại | いま | Danh từ | N5 | 今、何時ですか。 | Bây giờ là mấy giờ? | Mốc thời gian hiện tại (Kanji: 今) | bây giờ, bay gio, hiện tại, hien tai, giờ, gio
じ | Giờ | じ | Hậu tố | N5 | 今、7時です。 | Bây giờ là 7 giờ. | Đơn vị đếm giờ (Kanji: -時) | giờ, gio, tiếng, tieng
ふん | Phút | ふん | Hậu tố | N5 | 7時15分です。 | 7 giờ 15 phút. | Đơn vị đếm phút (Biến âm: ~ぷん; Kanji: -分) | phút, phut
はん | Rưỡi / Nửa | はん | Hậu tố | N5 | 7時半です。 | 7 giờ rưỡi. | Chỉ 30 phút (Kanji: 半) | rưỡi, ruoi, nửa, nua, 30 phút, 30 phut
なんじ | Mấy giờ | なんじ | Nghi vấn từ | N5 | 今、何時ですか。 | Bây giờ là mấy giờ? | Từ dùng để hỏi giờ (Kanji: 何時) | mấy giờ, may gio, giờ nào, gio nao, bao nhiêu giờ, bao nhieu gio
なんぷん | Mấy phút | なんぷん | Nghi vấn từ | N5 | 何分かかりますか。 | Tốn mấy phút? | Từ dùng để hỏi phút (Kanji: 何分) | mấy phút, may phut, bao nhiêu phút, bao nhieu phut
ごぜん | Buổi sáng / AM | ごぜん | Danh từ | N5 | 午前9時です。 | 9 giờ sáng. | Khoảng thời gian từ 0h - 12h trưa (Kanji: 午前) | buổi sáng, buoi sang, sáng, sang, am, gô-zen
ごご | Buổi chiều / PM | ごご | Danh từ | N5 | 午後3時です。 | 3 giờ chiều. | Khoảng thời gian từ 12h trưa - 24h đêm (Kanji: 午後) | buổi chiều, buoi chieu, chiều, chieu, pm, gô-gô
あさ | Sáng / Buổi sáng | あさ | Danh từ | N5 | 朝、新聞を読みます。 | Buổi sáng tôi đọc báo. | Mốc thời gian đầu ngày (Kanji: 朝) | sáng, sang, buổi sáng, buoi sang, ban sáng, ban sang
