たべます | Ăn | たべます | Động từ | N5 | ごはんを食べます。 | Ăn cơm. | Động từ nhóm 2 (Kanji: 食べます) | ăn, an, ăn uống, an uong, dùng bữa, dung bua
のみます | Uống | のみます | Động từ | N5 | 水を飲みます。 | Uống nước. | Động từ nhóm 1 (Kanji: 飲みます) | uống, uong, uống nước, uong nuoc, nhậu, nhau
すいます | Hút [thuốc] | すいます | Động từ | N5 | たばこを吸います。 | Hút thuốc lá. | Động từ nhóm 1 (Kanji: 吸います) | hút, hut, hút thuốc, hut thuoc, hít, hit
みます | Xem / Nhìn / Ngắm | みます | Động từ | N5 | テレビを見ます。 | Xem tivi. | Động từ nhóm 2 (Kanji: 見ます) | xem, nhìn, ngắm, xem phim, coi, coi phim, nhin, ngam
ききます | Nghe | ききます | Động từ | N5 | 音楽を聞きます。 | Nghe nhạc. | Động từ nhóm 1 (Kanji: 聞きます) | nghe, nghe nhạc, nghe nhac, lắng nghe, lang nghe
よみます | Đọc | よみます | Động từ | N5 | 本を読みます。 | Đọc sách. | Động từ nhóm 1 (Kanji: 読みます) | đọc, doc, đọc sách, doc sach
かきます | Viết / Vẽ | かきます | Động từ | N5 | 手紙を書きます。 | Viết thư. | Động từ nhóm 1 (Kanji: 書きます) | viết, viet, vẽ, ve, viết thư, viet thu
かいます | Mua | かいます | Động từ | N5 | パンを買います。 | Mua bánh mì. | Động từ nhóm 1 (Kanji: 買います) | mua, sắm, mua sắm, mua sam, mua đồ, mua do
とります | Chụp [ảnh] | とります | Động từ | N5 | 写真を撮ります。 | Chụp ảnh. | Động từ nhóm 1 (Kanji: 撮ります) | chụp, chup, chụp ảnh, chup anh, chụp hình, chup hinh, quay, quay phim
します | Làm / Chơi | します | Động từ | N5 | サッカーをします。 | Chơi bóng đá. | Động từ nhóm 3 (Thực hiện hành động / chơi thể thao) | làm, lam, chơi, choi, thực hiện, thuc hien
あいます | Gặp [bạn] | あいます | Động từ | N5 | 友達に会います。 | Gặp bạn bè. | Động từ nhóm 1 (Đi với trợ từ に; Kanji: 会います) | gặp, gap, gặp mặt, gap mat, gặp bạn, gap ban, hò hẹn, ho hen
ごはん | Cơm / Bữa ăn | ごはん | Danh từ | N5 | ごはんを食べます。 | Ăn cơm. | Cơm nấu chín hoặc bữa ăn nói chung (Kanji: ご飯) | cơm, com, bữa ăn, bua an, cơm nước, com nuoc
